Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Patrick van Aanholt,NED,"MF,DF",PSV Eindhoven,32,1990,1.1,0,2,1,50.0,1.82,0.91,0.00,0.00,19.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Brenden Aaronson,USA,MF,Union Berlin,22,2000,1.5,0,3,0,0.0,1.97,0.00,0.00,,13.1,0,0,0,0.5,0.5,0.16,-0.5,-0.5
Salis Abdul Samed,GHA,MF,Lens,23,2000,5.5,0,2,0,0.0,0.36,0.00,0.00,,16.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2
Francesco Acerbi,ITA,DF,Inter,35,1988,4.7,0,1,0,0.0,0.21,0.00,0.00,,12.3,0,0,0,0.2,0.2,0.22,-0.2,-0.2
Elias Achouri,TUN,"FW,MF",FC Copenhagen,24,1999,6.1,0,10,2,20.0,1.63,0.33,0.00,0.00,20.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Marcos Acuña,ARG,DF,Sevilla,31,1991,2.2,0,2,0,0.0,0.91,0.00,0.00,,26.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Karim Adeyemi,GER,FW,Dortmund,21,2002,7.9,2,15,7,46.7,1.91,0.89,0.13,0.29,16.7,0,0,0,1.8,1.8,0.12,+0.2,+0.2
Yacine Adli,FRA,MF,Milan,23,2000,1.4,0,2,0,0.0,1.46,0.00,0.00,,25.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Ruben Aguilar,FRA,DF,Lens,30,1993,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,7.4,2,5,2,40.0,0.68,0.27,0.40,1.00,13.7,0,0,0,1.0,1.0,0.19,+1.0,+1.0
Nathan Aké,NED,"DF,MF",Manchester City,28,1995,4.3,0,4,2,50.0,0.94,0.47,0.00,0.00,11.5,0,0,0,0.9,0.9,0.23,-0.9,-0.9
Kerem Aktürkoğlu,TUR,"MF,FW",Galatasaray,24,1998,4.9,2,18,6,33.3,3.68,1.23,0.11,0.33,17.1,0,0,0,2.1,2.1,0.12,-0.1,-0.1
David Alaba,AUT,DF,Real Madrid,31,1992,2.8,0,4,0,0.0,1.44,0.00,0.00,,15.2,1,0,0,0.4,0.4,0.10,-0.4,-0.4
Luis Alberto,ESP,MF,Lazio,30,1992,7.1,0,14,3,21.4,1.96,0.42,0.00,0.00,25.6,1,0,0,0.9,0.9,0.06,-0.9,-0.9
Toby Alderweireld,BEL,DF,Antwerp,34,1989,5.0,0,9,4,44.4,1.80,0.80,0.00,0.00,14.6,1,0,1,1.5,0.8,0.09,-1.5,-0.8
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,19,2004,1.5,0,1,1,100.0,0.69,0.69,0.00,0.00,21.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Miguel Almirón,PAR,FW,Newcastle Utd,29,1994,4.6,1,12,3,25.0,2.62,0.65,0.08,0.33,18.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4
Marcos Alonso,ESP,"DF,FW",Barcelona,32,1990,1.5,0,1,1,100.0,0.65,0.65,0.00,0.00,33.1,1,0,0,0.0,0.0,0.04,0.0,0.0
Barış Alper Yılmaz,TUR,"FW,MF",Galatasaray,23,2000,1.4,0,1,0,0.0,0.71,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Julián Álvarez,ARG,"MF,FW",Manchester City,23,2000,3.1,5,15,10,66.7,4.79,3.19,0.33,0.50,16.7,1,0,0,1.7,1.7,0.12,+3.3,+3.3
Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aurele Amenda,SUI,DF,Young Boys,20,2003,3.5,0,2,1,50.0,0.57,0.29,0.00,0.00,9.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,26,1996,3.6,0,1,1,100.0,0.28,0.28,0.00,0.00,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Elliot Anderson,ENG,MF,Newcastle Utd,20,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Felipe Anderson,BRA,FW,Lazio,30,1993,6.0,0,9,1,11.1,1.49,0.17,0.00,0.00,16.1,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Angeliño,ESP,DF,Galatasaray,26,1997,4.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Peter Ankersen,DEN,DF,FC Copenhagen,32,1990,5.2,0,4,0,0.0,0.77,0.00,0.00,,19.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Antony,BRA,FW,Manchester Utd,23,2000,2.6,0,2,0,0.0,0.78,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Jon Aramburu,VEN,DF,Real Sociedad,21,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ronald Araújo,URU,DF,Barcelona,24,1999,7.3,0,6,1,16.7,0.82,0.14,0.00,0.00,18.6,1,0,0,0.9,0.9,0.15,-0.9,-0.9
Tomás Araújo,POR,DF,Benfica,21,2002,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marko Arnautović,AUT,FW,Inter,34,1989,2.1,2,7,3,42.9,3.28,1.41,0.29,0.67,8.9,0,0,0,2.9,2.9,0.41,-0.9,-0.9
Kepa Arrizabalaga,ESP,GK,Real Madrid,28,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marco Asensio,ESP,"FW,MF",Paris S-G,27,1996,1.4,0,8,3,37.5,5.81,2.18,0.00,0.00,21.6,1,0,0,0.4,0.4,0.05,-0.4,-0.4
Kristjan Asllani,ALB,MF,Inter,21,2002,2.3,0,4,2,50.0,1.76,0.88,0.00,0.00,32.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Otavio Ataide,BRA,DF,Porto,21,2002,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Emil Audero,ITA,GK,Inter,26,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
