Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Etienne Youte Kinkoue,FRA,DF,Le Havre,22-274,2002,4,4,317,3.5,0,0,0,0,0,0,1,1,0.2,0.2,0.1,0.3,2,6,1,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,https://fbref.com/fr/joueurs/12a4e38c/Etienne-Youte-Kinkoue
Yoram Zague,FRA,DF,Paris S-G,18-152,2006,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/5ce497e2/Yoram-Zague
Wilfried Zaha,CIV,AT,Lyon,31-339,1992,1,1,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/b2bc3b1f/Wilfried-Zaha
Warren Zaïre-Emery,FRA,"MT,DF",Paris S-G,18-220,2006,6,6,507,5.6,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.8,10,23,22,0.18,0.00,0.18,0.18,0.18,0.09,0.04,0.14,0.09,0.14,https://fbref.com/fr/joueurs/6b9960cf/Warren-Zaire-Emery
Miha Zajc,SVN,MT,Toulouse,30-105,1994,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/83e4643e/Miha-Zajc
Denis Zakaria,SUI,MT,Monaco,27-329,1996,7,6,565,6.3,2,1,3,2,0,0,2,0,1.2,1.2,0.2,1.4,6,25,5,0.32,0.16,0.48,0.32,0.48,0.19,0.03,0.22,0.19,0.22,https://fbref.com/fr/joueurs/384d58d9/Denis-Zakaria
Anass Zaroury,MAR,"MT,AT",Lens,23-342,2000,5,3,201,2.2,0,1,1,0,0,0,2,1,0.2,0.2,0.3,0.5,6,10,7,0.00,0.45,0.45,0.00,0.45,0.11,0.14,0.24,0.11,0.24,https://fbref.com/fr/joueurs/07d65234/Anass-Zaroury
Nathan Zeze,FRA,DF,Nantes,19-118,2005,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/fb4c5b6e/Nathan-Zeze
Edon Zhegrova,KVX,"AT,MT",Lille,25-197,1999,5,5,434,4.8,3,1,4,3,0,0,0,0,1.0,1.0,1.9,2.9,22,28,42,0.62,0.21,0.83,0.62,0.83,0.21,0.39,0.60,0.21,0.60,https://fbref.com/fr/joueurs/34a88e3e/Edon-Zhegrova
Luc Zogbé,CIV,DF,Brest,19-204,2005,4,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/3725b44f/Luc-Zogbe
Aristide Zossou,CIV,MT,Auxerre,19-122,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/3dcd9017/Aristide-Zossou
Yanis Zouaoui,ALG,DF,Le Havre,30-096,1994,1,1,74,0.8,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,2,5,5,0.00,1.22,1.22,0.00,1.22,0.00,0.30,0.30,0.00,0.30,https://fbref.com/fr/joueurs/ec724366/Yanis-Zouaoui
Tosin Adarabioyo,ENG,DF,Chelsea,27-020,1997,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/c81d773d/Tosin-Adarabioyo
Simon Adingra,CIV,"AT,MT",Brighton,22-287,2002,5,1,137,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,5,2,35,0.66,0.66,1.31,0.66,1.31,0.22,0.31,0.53,0.22,0.53,https://fbref.com/fr/joueurs/4dcec659/Simon-Adingra
Ola Aina,NGA,DF,Nott'ham Forest,28-006,1996,7,7,593,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,16,26,9,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,https://fbref.com/fr/joueurs/246d153b/Ola-Aina
Rayan Aït-Nouri,ALG,"DF,MT",Wolves,23-130,2001,7,7,563,6.3,2,2,4,2,0,0,3,0,1.0,1.0,1.0,2.0,13,25,25,0.32,0.32,0.64,0.32,0.64,0.16,0.16,0.31,0.16,0.31,https://fbref.com/fr/joueurs/9b398aea/Rayan-Ait-Nouri
Kristoffer Ajer,NOR,DF,Brentford,26-180,1998,7,7,546,6.1,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,12,19,11,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08,https://fbref.com/fr/joueurs/a8c0acb7/Kristoffer-Ajer
Manuel Akanji,SUI,DF,Manchester City,29-087,1995,7,7,601,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,14,63,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,https://fbref.com/fr/joueurs/89ac64a6/Manuel-Akanji
Nathan Aké,NED,DF,Manchester City,29-239,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/eaeca114/Nathan-Ake
Carlos Alcaraz,ARG,MT,Southampton,21-319,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,https://fbref.com/fr/joueurs/4abac767/Carlos-Alcaraz
Trent Alexander-Arnold,ENG,DF,Liverpool,26-007,1998,7,7,582,6.5,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,19,41,25,0.00,0.15,0.15,0.00,0.15,0.05,0.32,0.38,0.05,0.38,https://fbref.com/fr/joueurs/cd1acf9d/Trent-Alexander-Arnold
Alisson,BRA,GB,Liverpool,32-012,1992,6,6,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/7a2e46a8/Alisson
Miguel Almirón,PAR,AT,Newcastle Utd,30-247,1994,3,0,32,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,4,4,0.00,0.00,0.00,0.00,0.00,0.54,0.50,1.04,0.54,1.04,https://fbref.com/fr/joueurs/862a1c15/Miguel-Almiron
Edson Álvarez,MEX,"MT,DF",West Ham,26-356,1997,5,3,244,2.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,1,12,3,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,https://fbref.com/fr/joueurs/8b3ab7ad/Edson-Alvarez
Samuel Amo-Ameyaw,ENG,DF,Southampton,18-088,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.18,0.62,0.80,0.18,0.80,https://fbref.com/fr/joueurs/9eedf0e0/Samuel-Amo-Ameyaw
Joachim Andersen,DEN,DF,Crystal Palace,28-136,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,https://fbref.com/fr/joueurs/e34fc66d/Joachim-Andersen
Joachim Andersen,DEN,DF,Fulham,28-136,1996,4,4,360,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,3,13,0,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,https://fbref.com/fr/joueurs/e34fc66d/Joachim-Andersen
Elliot Anderson,ENG,"MT,AT",Nott'ham Forest,21-343,2002,7,6,421,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.2,0.4,9,17,21,0.00,0.21,0.21,0.00,0.21,0.05,0.03,0.09,0.05,0.09,https://fbref.com/fr/joueurs/de31038e/Elliot-Anderson
André,BRA,MT,Wolves,23-090,2001,5,4,317,3.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,10,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,https://fbref.com/fr/joueurs/ec604e2c/Andre
Michail Antonio,JAM,AT,West Ham,34-200,1990,7,6,428,4.8,1,1,2,1,0,0,1,0,1.8,1.8,0.7,2.6,11,10,29,0.21,0.21,0.42,0.21,0.42,0.38,0.15,0.54,0.38,0.54,https://fbref.com/fr/joueurs/ac05f970/Michail-Antonio
Antony,BRA,AT,Manchester Utd,24-233,2000,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.47,0.22,0.70,0.47,0.70,https://fbref.com/fr/joueurs/99127249/Antony
Julian Araujo,MEX,DF,Bournemouth,23-062,2001,5,3,274,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/8f4541c2/Julian-Araujo
Cameron Archer,ENG,AT,Southampton,23-085,2001,7,2,284,3.2,1,0,1,1,0,1,0,0,2.3,1.5,0.0,1.5,5,2,13,0.32,0.00,0.32,0.32,0.32,0.75,0.00,0.75,0.49,0.49,https://fbref.com/fr/joueurs/05e8ca6d/Cameron-Archer
Alphonse Areola,FRA,GB,West Ham,31-230,1993,7,7,585,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/2f965a72/Alphonse-Areola
Joe Aribo,NGA,MT,Southampton,28-085,1996,6,4,361,4.0,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.3,15,18,22,0.00,0.00,0.00,0.00,0.00,0.15,0.16,0.31,0.15,0.31,https://fbref.com/fr/joueurs/328f7d51/Joe-Aribo
Adam Armstrong,ENG,AT,Southampton,27-247,1997,5,3,231,2.6,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,6,5,17,0.00,0.00,0.00,0.00,0.00,0.30,0.04,0.35,0.30,0.35,https://fbref.com/fr/joueurs/68c720b5/Adam-Armstrong
Harrison Armstrong,ENG,MT,Everton,17-269,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/de59e609/Harrison-Armstrong
Kepa Arrizabalaga,ESP,GB,Bournemouth,30-011,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/28d596a0/Kepa-Arrizabalaga
Taiwo Awoniyi,NGA,AT,Nott'ham Forest,27-063,1997,4,1,80,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,1,7,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,https://fbref.com/fr/joueurs/e5478b87/Taiwo-Awoniyi
Yasin Ayari,SWE,MT,Brighton,21-008,2003,5,1,201,2.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,5,9,12,0.00,0.00,0.00,0.00,0.00,0.24,0.04,0.28,0.24,0.28,https://fbref.com/fr/joueurs/f173303a/Yasin-Ayari
Jordan Ayew,GHA,"AT,MT",Crystal Palace,33-033,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,https://fbref.com/fr/joueurs/da052c14/Jordan-Ayew
Jordan Ayew,GHA,"AT,MT",Leicester City,33-033,1991,6,4,360,4.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,9,10,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,https://fbref.com/fr/joueurs/da052c14/Jordan-Ayew
Leon Bailey,JAM,"AT,MT",Aston Villa,27-066,1997,6,5,348,3.9,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.1,18,13,28,0.00,0.26,0.26,0.00,0.26,0.09,0.19,0.27,0.09,0.27,https://fbref.com/fr/joueurs/3a233281/Leon-Bailey
Carlos Baleba,CMR,MT,Brighton,20-285,2004,6,5,422,4.7,1,1,2,1,0,0,1,0,0.7,0.7,0.2,1.0,6,28,2,0.21,0.21,0.43,0.21,0.43,0.16,0.05,0.20,0.16,0.20,https://fbref.com/fr/joueurs/a1390d2f/Carlos-Baleba
Ross Barkley,ENG,MT,Aston Villa,30-314,1993,6,1,216,2.4,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.3,7,14,2,0.00,0.42,0.42,0.00,0.42,0.05,0.09,0.14,0.05,0.14,https://fbref.com/fr/joueurs/3a24769f/Ross-Barkley
Harvey Barnes,ENG,AT,Newcastle Utd,26-310,1997,7,4,385,4.3,3,1,4,3,0,0,0,0,1.8,1.8,1.6,3.5,19,21,38,0.70,0.23,0.94,0.70,0.94,0.43,0.38,0.81,0.43,0.81,https://fbref.com/fr/joueurs/3ea50f67/Harvey-Barnes
Calvin Bassey,NGA,DF,Fulham,24-288,1999,7,7,630,7.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,6,19,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,https://fbref.com/fr/joueurs/a36524bf/Calvin-Bassey
Jan Bednarek,POL,DF,Southampton,28-185,1996,7,7,620,6.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/4115ce4e/Jan-Bednarek
Jean-Ricner Bellegarde,FRA,"MT,AT",Wolves,26-109,1998,7,6,402,4.5,1,1,2,1,0,0,1,0,0.3,0.3,0.3,0.6,13,5,21,0.22,0.22,0.45,0.22,0.45,0.07,0.06,0.13,0.07,0.13,https://fbref.com/fr/joueurs/10f0fdd3/Jean-Ricner-Bellegarde
Rodrigo Bentancur,URU,MT,Tottenham,27-111,1997,6,5,383,4.3,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,4,26,2,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,https://fbref.com/fr/joueurs/3b8674e6/Rodrigo-Bentancur
Sander Berge,NOR,MT,Fulham,26-243,1998,5,1,175,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,https://fbref.com/fr/joueurs/d0b6129f/Sander-Berge
Lucas Bergvall,SWE,"MT,AT",Tottenham,18-255,2006,5,0,51,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,4,3,0.00,0.00,0.00,0.00,0.00,0.14,0.34,0.48,0.14,0.48,https://fbref.com/fr/joueurs/a109e5c8/Lucas-Bergvall
Victor Bernth Kristiansen,DEN,DF,Leicester City,21-303,2002,7,7,624,6.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,10,16,18,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,https://fbref.com/fr/joueurs/505486d6/Victor-Bernth-Kristiansen
Beto,GNB,AT,Everton,26-257,1998,4,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/ed5c0319/Beto
Philip Billing,DEN,MT,Bournemouth,28-125,1996,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/d328a254/Philip-Billing
Yves Bissouma,MLI,MT,Tottenham,28-045,1996,4,2,193,2.1,1,0,1,1,0,0,2,0,0.1,0.1,0.2,0.3,5,17,0,0.47,0.00,0.47,0.47,0.47,0.05,0.07,0.12,0.05,0.12,https://fbref.com/fr/joueurs/6c203af0/Yves-Bissouma
Lamare Bogarde,NED,DF,Aston Villa,20-283,2004,2,2,168,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,https://fbref.com/fr/joueurs/bca5c4a7/Lamare-Bogarde
Willy Boly,CIV,DF,Nott'ham Forest,33-254,1991,2,1,91,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,https://fbref.com/fr/joueurs/a4ac4b8f/Willy-Boly
Jarrod Bowen,ENG,"MT,AT",West Ham,27-299,1996,7,7,606,6.7,2,2,4,2,0,0,0,0,1.0,1.0,2.2,3.2,26,26,40,0.30,0.30,0.59,0.30,0.59,0.14,0.33,0.47,0.14,0.47,https://fbref.com/fr/joueurs/79c84d1c/Jarrod-Bowen
Conor Bradley,NIR,DF,Liverpool,21-097,2003,4,0,79,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,5,5,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,https://fbref.com/fr/joueurs/bbd67769/Conor-Bradley
Jarrad Branthwaite,ENG,DF,Everton,22-109,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/c1949191/Jarrad-Branthwaite
Ben Brereton,CHI,AT,Southampton,25-179,1999,6,4,389,4.3,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,11,8,36,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,https://fbref.com/fr/joueurs/57827369/Ben-Brereton
David Brooks,WAL,MT,Bournemouth,27-098,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,3,6,0.00,0.00,0.00,0.00,0.00,0.00,2.71,2.71,0.00,2.71,https://fbref.com/fr/joueurs/dc4cae05/David-Brooks
Emi Buendía,ARG,"MT,AT",Aston Villa,27-294,1996,3,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,4,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,https://fbref.com/fr/joueurs/66b76d44/Emi-Buendia
Santiago Bueno,URU,DF,Wolves,25-340,1998,2,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/edc98fac/Santiago-Bueno
Facundo Buonanotte,ARG,"MT,AT",Leicester City,19-296,2004,6,4,371,4.1,2,2,4,2,0,0,2,0,0.7,0.7,1.1,1.8,9,12,12,0.49,0.49,0.97,0.49,0.97,0.17,0.26,0.43,0.17,0.43,https://fbref.com/fr/joueurs/468a7a91/Facundo-Buonanotte
Dan Burn,ENG,DF,Newcastle Utd,32-158,1992,7,7,630,7.0,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,0,12,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,https://fbref.com/fr/joueurs/b2d31e83/Dan-Burn
Wes Burns,WAL,AT,Ipswich Town,29-326,1994,5,4,281,3.1,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,10,2,28,0.00,0.00,0.00,0.00,0.00,0.06,0.23,0.28,0.06,0.28,https://fbref.com/fr/joueurs/b3fe23c6/Wes-Burns
Moisés Caicedo,ECU,MT,Chelsea,22-347,2001,7,7,615,6.8,0,1,1,0,0,0,2,0,0.2,0.2,1.1,1.3,7,27,10,0.00,0.15,0.15,0.00,0.15,0.02,0.16,0.18,0.02,0.18,https://fbref.com/fr/joueurs/16264a81/Moises-Caicedo
Tom Cairney,SCO,MT,Fulham,33-268,1991,5,0,97,1.1,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,3,11,4,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,https://fbref.com/fr/joueurs/a8748947/Tom-Cairney
Jens Cajuste,SWE,MT,Ipswich Town,25-065,1999,2,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,1,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.11,0.03,0.11,https://fbref.com/fr/joueurs/928a4a61/Jens-Cajuste
Riccardo Calafiori,ITA,DF,Arsenal,22-148,2002,5,3,296,3.3,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,2,17,7,0.30,0.00,0.30,0.30,0.30,0.15,0.03,0.18,0.15,0.18,https://fbref.com/fr/joueurs/aded8e6f/Riccardo-Calafiori
Dominic Calvert-Lewin,ENG,AT,Everton,27-212,1997,7,7,593,6.6,2,1,3,2,0,0,1,0,2.0,2.0,0.2,2.2,5,8,41,0.30,0.15,0.46,0.30,0.46,0.31,0.03,0.34,0.31,0.34,https://fbref.com/fr/joueurs/59e6e5bf/Dominic-Calvert-Lewin
Diego Carlos,BRA,DF,Aston Villa,31-213,1993,3,2,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/b4a014b1/Diego-Carlos
Fabio Carvalho,POR,"AT,MT",Brentford,22-045,2002,7,2,244,2.7,1,1,2,1,0,0,0,0,1.0,1.0,0.5,1.5,5,7,8,0.37,0.37,0.74,0.37,0.74,0.36,0.20,0.56,0.36,0.56,https://fbref.com/fr/joueurs/966e28d0/Fabio-Carvalho
Casemiro,BRA,MT,Manchester Utd,32-234,1992,6,3,280,3.1,0,0,0,0,0,0,0,0,0.4,0.4,1.2,1.7,1,17,4,0.00,0.00,0.00,0.00,0.00,0.14,0.40,0.53,0.14,0.53,https://fbref.com/fr/joueurs/4d224fe8/Casemiro
Matty Cash,POL,DF,Aston Villa,27-068,1997,3,3,186,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,7,4,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,https://fbref.com/fr/joueurs/2389cdc2/Matty-Cash
Timothy Castagne,BEL,DF,Fulham,28-314,1995,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/197640fd/Timothy-Castagne
Trevoh Chalobah,ENG,DF,Crystal Palace,25-101,1999,1,1,87,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,4,1,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,https://fbref.com/fr/joueurs/5515376c/Trevoh-Chalobah
Conor Chaplin,ENG,"MT,AT",Ipswich Town,27-241,1997,6,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,https://fbref.com/fr/joueurs/4ec55b87/Conor-Chaplin
Federico Chiesa,ITA,AT,Liverpool,26-355,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,2,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.76,0.76,0.76,https://fbref.com/fr/joueurs/b0f7e36c/Federico-Chiesa
Chiquinho,POR,MT,Wolves,24-252,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,https://fbref.com/fr/joueurs/dc6c2f02/Chiquinho
Hamza Choudhury,ENG,MT,Leicester City,27-013,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/7d2d3329/Hamza-Choudhury
Ryan Christie,SCO,MT,Bournemouth,29-235,1995,7,6,455,5.1,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.6,5,28,16,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,https://fbref.com/fr/joueurs/26ce2263/Ryan-Christie
Jack Clarke,ENG,AT,Ipswich Town,23-326,2000,5,2,232,2.6,0,1,1,0,0,0,1,0,0.3,0.3,0.8,1.0,5,7,14,0.00,0.39,0.39,0.00,0.39,0.10,0.30,0.40,0.10,0.40,https://fbref.com/fr/joueurs/e16932d8/Jack-Clarke
Nathaniel Clyne,ENG,"DF,MT",Crystal Palace,33-192,1991,3,2,227,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/0442183b/Nathaniel-Clyne
Conor Coady,ENG,DF,Leicester City,31-232,1993,1,0,8,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/2928dca2/Conor-Coady
Séamus Coleman,IRL,DF,Everton,36-003,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0,6,2,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.57,0.57,0.57,https://fbref.com/fr/joueurs/0420d84f/Seamus-Coleman
Nathan Collins,IRL,DF,Brentford,23-167,2001,7,7,630,7.0,1,0,1,1,0,0,1,0,1.3,1.3,0.0,1.3,5,15,4,0.14,0.00,0.14,0.14,0.14,0.19,0.00,0.19,0.19,0.19,https://fbref.com/fr/joueurs/a8c19eb8/Nathan-Collins
Toby Collyer,ENG,MT,Manchester Utd,20-285,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,https://fbref.com/fr/joueurs/4f9091bc/Toby-Collyer
Levi Colwill,ENG,DF,Chelsea,21-231,2003,7,7,629,7.0,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,3,28,0,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,https://fbref.com/fr/joueurs/700783e7/Levi-Colwill
